//loading 1 byte tokens...
>DMS,01
>Dec,02
>Frac,03
->,04
Boxplot,05
rad,0A
deg,0B
^-1,0C
^2,0D
Transpose,0E
^3,0F
round(,12
pxl-Test(,13
augment(,14
rowSwap(,15
row+(,16
*row(,17
*row+(,18
max(,19
min(,1A
R>Pr(,1B
R>Ptheta(,1C
P>Rx(,1D
P>Ry(,1E
median(,1F
randM(,20
mean(,21
solve(,22
seq(,23
fnInt(,24
nDeriv(,25
fMin(,27
fMax(,28
i,2C
CubicReg,2E
QuartReg,2F
EE,3B
or,3C
xor,3D
and,40
theta,5B
prgm,5F
Radian,64
Degree,65
Normal,66
Sci,67
Eng,68
Float,69
<=,6D
>=,6E
!=,6F
Ans,72
Fix,73
Horiz,74
Full,75
Func,76
Param,77
Polar,78
Seq,79
IndpntAuto,7A
IndpntAsk,7B
DepentAuto,7C
DependAsk,7D
squaremark,7F
+mark,80
plusmark,80
crossmark,80
.mark,81
dotmark,81
Trace,84
ClrDraw,85
ZStandard,86
ZTrig,87
ZBox,88
Zoom In,89
Zoom Out,8A
ZSquare,8B
ZInteger,8C
ZPrevious,8D
ZDecimal,8E
ZoomStat,8F
ZoomRcl,90
PrintScreen,91
ZoomSto,92
Text(,93
nPr,94
nCr,95
FnOn,96
FnOff,97
StorePic,98
RecallPic,99
StoreGDB,9A
RecallGDB,9B
Line(,9C
Vertical,9D
Pt-On(,9E
Pt-Off(,9F
Pt-Change(,A0
Pxl-On(,A1
Pxl-Off(,A2
Pxl-Change(,A3
Shade(,A4
Circle(,A5
Horizontal,A6
Tangent(,A7
DrawInv,A8
DrawF,A9
rand,AB0
pi,AC
PI,AC
getKey,AD
-,B0
int(,B1
abs(,B2
det(,B3
identity(,B4
dim(,B5
sum(,B6
prod(,B7
not(,B8
iPart(,B9
fPart(,BA
sqrt(,BC
cbrt(,BD
ln(,BE
e^(,BF
log(,C0
10^(,C1
sin(,C2
sin^-1(,C3
arcsin(,C3
cos(,C4
cos^-1(,C5
arccos(,C5
tan(,C6
tan^-1(,C7
arctan(,C7
sinh(,C8
sinh^-1(,C9
arcsinh(,C9
cosh(,CA
cosh^-1(,CB
arccosh(,CB
tanh(,CC
tanh^-1(,CD
arctanh(,CD
If,CE
Then,CF
Else,D0
While,D1
Repeat,D2
For(,D3
End,D4
Return,D5
Lbl,D6
Goto,D7
Pause,D8
Stop,D9
IS>(,DA
DS<(,DB
Input,DC
Prompt,DD
Disp,DE
DispGraph,DF
Output(,E0
ClrHome,E1
Fill(,E2
SortA(,E3
SortD(,E4
DispTable,E5
Menu(,E6
Send(,E7
Get(,E8
PlotsOn,E9
PlotsOff,EA
List,EB
Plot1(,EC
Plot2(,ED
Plot3(,EE
xroot(,F1
1-Var Stats,F2
2-Var Stats,F3
LinReg(a+bx),F4
ExpReg,F5
LnReg,F6
PwrReg,F7
Med-Med,F8
