>DMS,►DMS
>Dec,►Dec
>Frac,►Frac
->,→
rad,ʳ
deg,°
^2,²
Transpose,ᵀ
^3,³
R>Pr(,R►Pr(
R>Ptheta(,R►Ptheta(
P>Rx(,P►Rx(
P>Ry(,P►Ry(
EE,ᴇ
theta,θ
<=,≤
>=,≥
!=,≠
--,—
PI,π
pi,π
sqrt(,√(
cbrt(,³√(
List,∟
thetamin,θmin
theatamax,θmax
Zthetamin,Zθmin
Zthetamax,Zθmax
DeltaTbl,ΔTbl
thetastep,θstep
Zthetastep,Zθstep
DeltaX,ΔX
DeltaY,ΔY
Ipercent,I%
Sigmaprn,Σprn(
SigmaInt,ΣInt(
>Nom,►Nom(
>Eff,►Eff(
chi^2cdf(,χ²cdf(
chi^2pdf(,χ²pdf(
tvm_Ipercent,tvm_I%
DeltaList(,ΔList(
deltaList(,ΔList(
>Rect,►Rect
>Polar,►Polar
Matr>list,Matr►list(
List>Matr,List►matr(
chi^2-Test(,χ²-Test(
Chi^2-Test(,χ²-Test(
x^2-Test(,χ²-Test(
X^2-Test(,χ²-Test(
re^thetai,re^θi
Equ>String,Equ►String(
String>Equ,String►Equ(
Aacute,Á
Agrave,À
Acircumflex,Â
Adiaeresis,Ä
aacute,á
agrave,à
acircumflex,â
adiaeresis,ä
Eacute,É
Egrave,È
Ecircumflex,Ê
Ediaeresis,Ë
eacute,é
egrave,è
ecircumflex,ê
ediaeresis,ë
Igrave,Ì
Icircumflex,Î
Idiaeresis,Ï
Iacute,Í
iacute,í
igrave,ì
icircumflex,î
idiaeresis,ï
Oacute,Ó
Ograve,Ò
Ocircumflex,Ô
Odiaeresis,Ö
oacute,ó
ograve,ò
ocircumflex,ô
odiaeresis,ö
Uacute,Ú
Ugrave,Ù
Ucircumflex,Û
Udiaeresis,Ü
uacute,ú
ugrave,ù
ucircumflex,û
udiaeresis,ü
Ccedilla,Ç
ccedilla,ç
Ntilde,Ñ
ntilde,ñ
acute,´
grave,`
diaeresis,¨
?invert,¿
inverted?,¿
!invert,¡
inverted!,¡
alpha,α
beta,β
gamma,γ
Delta,Δ
delta,δ
epsilon,ε
lambda,λ
mu,μ
greekpi,π
rho,ρ
Sigma,Σ
phi,φ
Omega,Ω
chi,χ
//Wau,Ϝ
//Digamma,Ϝ
sigma,σ
tau,τ
percent,%
...,…
eszett,ß
leftarrow,←
rightarrow,→
uparrow,↑
downarrow,↓
integral,∫
root,√
Sumx,Σx
Sumx^2,Σx²
Sumy,Σy
Sumy^2,Σy²
Sumxy,Σxy
sigmax,σx
sigmay,σy
chi^2,χ²
Digamma,F
stat F,F
//Digamma,Ϝ
//stat F,Ϝ
r^2,r²
rsquared,r²
R^2,R²
Rsquared,R²
//symbols which I may have to make glyphs for
//angle ∠ BBDC ,big up arrow, big down arrow, inverted equals (BBF2, BBF3, BBF5)
